,author,username,retweet_count,tweets,created_at
37,Robert_Piliang,hallo_abby,12,"Virus Corona berasal dari China.
Dampak yang terjadi pada China?

Banyak bermunculan orang kaya baru sebab covid.
China produksi Vaksin terbesar.
China produksi masker dan Alkes terbesar.
Banyak negara meminta pinjaman ke China untuk atasi covid. https://t.co/pR8PtZVzSr",2022-10-23 14:34:09
38,,ms_furi,0,"@ur14june @ardianpancaa Itu nanti kalo ikutan ukm atau organisasi trs bkin acara bakal ngawur. Yakin

Udah kjadian 3 acara d kampus berbeda dg panitianya mahasiswa jebolan corona hasilnya pada gajelas",2022-10-23 14:30:49
39,,rahmattt26,0,@ListyoSigitP Jaman ppkm mau perpanjang 2 minggu sebelum sim habis kantor tutup karna corona . Eh pas di kasih waktu seminggu buka buat nguruh jatuh sakit.. Wasalam sim hangus...ga bisa perpanjang,2022-10-23 14:28:37
40,,NurHida21627538,0,@FiersaBesari SEKARANG MASIH TETAP RAPID TEST PADAHAL PETUGASNYA SUDAH GK PAKAI MASKER DAN CORONA SUDAH HILANG MSIH TETAP SURUH RAPID TEST J*******COOOOOOKKK,2022-10-23 14:27:28
41,,DKIJakarta,0,"@beibgirll Terkait informasi ketersediaan kuota vaksin terbaru, mohon untuk melakukan pengecekan secara berkala pada https://t.co/tKri1Zm8qD atau dapat mengecek di IG : @dinkesdki dan Puskesmas terdekat
Terima kasih",2022-10-23 14:27:10
42,,totmwinyi,0,"@CkrissBamanyisa @bbcswahili Wala hujakosea na JPM wamemuwa wao. Na kusingizia Corona, JPM is among the Kings, we’ll never forget him. Na yule @TunduALissu safi sana walivyomchapa risasi na angekufa kabisa kwa kupinga maendeleo ya Tanzania yetu, some leaders wapo kwaajili ya kazi hawataki maneno maneno.",2022-10-23 14:25:57
43,,IndiSae,0,"@Ndoro68295960 @Gigugigu3 @GratisTerbaik Set dah,,ko jd melenceng.
Maksudnya vaksin² sejak zaman corona.
Terserah mo percaya apa tdk, kewajibanku cm menyampaikan apa yg kutau.
Yg gk ditampilan di TV tp menggemparkan dunia https://t.co/pU765M0FXb",2022-10-23 14:23:30
44,Kurniaw4nnnn,ponkkoponk,95,@biggienotsmall_ @ardianpancaa hari ini gue abis ngomelin maba bang wkwk. bukan sok senioritas tapi attitudenya itu loh gak ada sama sekali. maba Corona emg banyak yg  songong,2022-10-23 14:21:05
45,,AdindaPutriNir1,0,@convomfs jgn online plss kalo kuliah cukup SMA ku aja yg kehilangan kenangan gegara corona,2022-10-23 14:17:18
46,Robert_Piliang,baronko_cole,12,"Virus Corona berasal dari China.
Dampak yang terjadi pada China?

Banyak bermunculan orang kaya baru sebab covid.
China produksi Vaksin terbesar.
China produksi masker dan Alkes terbesar.
Banyak negara meminta pinjaman ke China untuk atasi covid. https://t.co/pR8PtZVzSr",2022-10-23 14:16:26
47,,idntimes,0,Sebanyak 19.385 pasien masih terpapar virus corona https://t.co/J02rISbwYX,2022-10-23 14:12:32
48,,2020Berita,0,Update Positif Corona Minggu 23 Oktober Bertambah 1.685 Total Jadi 6.470.961 Kasus https://t.co/eOEnFKAvLc,2022-10-23 14:10:54
49,merwal_yuvraj,NiwaaRam,5,@News18Rajasthan Congrass sarkar corona warios ko pgl bnha rhi hi,2022-10-23 14:08:44
